Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
1810026B05Rik	6.234252282	7.19306262	6.380319245	7.595711489	3.467760662	4.366257098	3.905252021	6.199756025	2.855542141	2.01571886	2.323293261	4.446741218	5.314280826	2.922225091
1810026J23Rik	7.558039467	0	7.898188596	3.769468728	9.644719109	13.60540229	10.47855592	8.242356156	10.90955415	16.92378796	2.04436888	8.416778685	6.158482715	15.51603473
1810030O07Rik	0.273979795	0.749131696	29.49863077	3.216381829	8.915365351	7.760725853	10.21175049	11.53619174	25.29579897	36.77971778	14.09453044	35.14359729	19.73492012	9.738856689
1810032O08Rik	6.351611712	0	6.078756401	7.249341317	4.252734598	3.748232391	6.769431937	5.543966164	5.614388138	9.99307513	8.518630218	2.453994215	7.49482515	4.10497664
1810037I17Rik	119.8526859	274.4063261	199.0045333	517.2688222	63.95637889	75.96242085	54.21668952	42.19798934	110.9932192	97.72023287	123.2551778	116.6018815	96.01175511	111.5229716
1810043G02Rik	0	0	0	8.264946571	4.256370486	2.101645352	1.36643082	3.916733643	0	0.305626241	4.895832536	3.852693748	0	0
1810043H04Rik	208.2645765	178.6354572	114.0360934	451.2122155	85.95861329	131.3196506	84.4421054	72.61338743	60.73636572	111.2232047	130.7772737	128.9638539	102.7494221	105.0979276
1810044D09Rik	0	0	11.31812691	26.47816115	3.494942796	18.33534216	15.10009147	15.49070842	38.01646595	12.79857049	15.41821155	22.40798558	9.372889674	14.05630719
1810055G02Rik	0.93607337	19.65670619	0	8.302814918	9.250827596	8.333325331	7.38831032	6.823968384	4.531023245	12.94478158	22.16747088	4.339910066	5.186607387	2.903874726
1810058I24Rik	24.62577534	28.1171795	29.71885096	148.6062827	29.67882874	43.25450857	34.70860221	29.93162635	35.29426598	35.03387498	70.61767485	57.29525714	20.99181743	57.71506775
